"BOX","AER","Lwratio","box_num","box_ver","rich_num","temp","vel","inlet_angle","window","old_new","inlet_angle_sine","richardson_num"
"AERStall ",67.53,"3","40","4","URI",22,2.5,"45","OpenDown","old",0.850903524534118,0.198
"AERStall ",36.16,"3","40","4","URI",22,2.5,"90","OpenDown","old",0.893996663600558,0.198
"AERStall ",73.11,"3","40","4","URI",30,2.8,"0","OpenDown","old",0,0.078
"AERStall ",67.51,"3","40","4","URI",30,2.8,"45","OpenDown","old",0.850903524534118,0.078
"AERStall ",36.45,"3","40","4","URI",30,2.8,"90","OpenDown","old",0.893996663600558,0.078
"AERStall ",41.69,"3","40","4","ZRI",10,0.85,"0","OpenDown","old",0,3
"AERStall ",34.78,"3","40","4","ZRI",10,0.85,"45","OpenDown","old",0.850903524534118,3
"AERStall ",29.06,"3","40","4","ZRI",10,0.85,"90","OpenDown","old",0.893996663600558,3
"AERStall ",41.8,"3","40","4","ZRI",15,0.97,"0","OpenDown","old",0,1.9
"AERStall ",35.72,"3","40","4","ZRI",15,0.97,"45","OpenDown","old",0.850903524534118,1.9
"AERStall ",27.19,"3","40","4","ZRI",15,0.97,"90","OpenDown","old",0.893996663600558,1.9
"AERStall ",34.94,"3","10","2","ORI",0,0.33,"0","OpenDown","old",0,28
"AERStall ",31.95,"3","10","2","ORI",0,0.33,"45","OpenDown","old",0.850903524534118,28
"AERStall ",27.82,"3","10","2","ORI",0,0.33,"90","OpenDown","old",0.893996663600558,28
"AERStall ",37.59,"3","10","2","ORI",7,0.45,"0","OpenDown","old",0,12
"AERStall ",31.34,"3","10","2","ORI",7,0.45,"45","OpenDown","old",0.850903524534118,12
"AERStall ",24.73,"3","10","2","ORI",7,0.45,"90","OpenDown","old",0.893996663600558,12
"AERStall ",70.29,"3","10","2","URI",22,2.5,"0","OpenDown","old",0,0.198
"AERStall ",67.53,"3","10","2","URI",22,2.5,"45","OpenDown","old",0.850903524534118,0.198
"AERStall ",36.16,"3","10","2","URI",22,2.5,"90","OpenDown","old",0.893996663600558,0.198
"AERStall ",73.11,"3","10","2","URI",30,2.8,"0","OpenDown","old",0,0.078
"AERStall ",67.51,"3","10","2","URI",30,2.8,"45","OpenDown","old",0.850903524534118,0.078
"AERStall ",36.45,"3","10","2","URI",30,2.8,"90","OpenDown","old",0.893996663600558,0.078
"AERStall ",41.69,"3","10","2","ZRI",10,0.85,"0","OpenDown","old",0,3
"AERStall ",34.78,"3","10","2","ZRI",10,0.85,"45","OpenDown","old",0.850903524534118,3
"AERStall ",29.06,"3","10","2","ZRI",10,0.85,"90","OpenDown","old",0.893996663600558,3
"AERStall ",41.8,"3","10","2","ZRI",15,0.97,"0","OpenDown","old",0,1.9
"AERStall ",35.72,"3","10","2","ZRI",15,0.97,"45","OpenDown","old",0.850903524534118,1.9
"AERStall ",27.19,"3","10","2","ZRI",15,0.97,"90","OpenDown","old",0.893996663600558,1.9
"AERStall ",34.54,"3","40","4","ORI",-2,0.25,"0","OpenDown","new",0,51.75
"AERStall ",34.72,"3","40","4","ORI",-2,0.25,"45","OpenDown","new",0.850903524534118,51.75
"AERStall ",27.23,"3","40","4","ORI",-2,0.25,"90","OpenDown","new",0.893996663600558,51.75
"AERStall ",81.46,"3","40","4","URI",32,3.2,"0","OpenDown","new",0,0.0448
"AERStall ",74.99,"3","40","4","URI",32,3.2,"45","OpenDown","new",0.850903524534118,0.0448
"AERStall ",37.34,"3","40","4","URI",32,3.2,"90","OpenDown","new",0.893996663600558,0.0448
"AERStall ",47.82,"3","40","4","ZRI",18,1.4,"0","OpenDown","new",0,0.8
"AERStall ",41.48,"3","40","4","ZRI",18,1.4,"45","OpenDown","new",0.850903524534118,0.8
"AERStall ",32.26,"3","40","4","ZRI",18,1.4,"90","OpenDown","new",0.893996663600558,0.8
"AERStall ",34.54,"3","10","2","ORI",-2,0.25,"0","OpenDown","new",0,51.75
"AERStall ",34.72,"3","10","2","ORI",-2,0.25,"45","OpenDown","new",0.850903524534118,51.75
"AERStall ",27.23,"3","10","2","ORI",-2,0.25,"90","OpenDown","new",0.893996663600558,51.75
"AERStall ",81.46,"3","10","2","URI",32,3.2,"0","OpenDown","new",0,0.0448
"AERStall ",74.99,"3","10","2","URI",32,3.2,"45","OpenDown","new",0.850903524534118,0.0448
"AERStall ",37.34,"3","10","2","URI",32,3.2,"90","OpenDown","new",0.893996663600558,0.0448
"AERStall ",47.82,"3","10","2","ZRI",18,1.4,"0","OpenDown","new",0,0.8
"AERStall ",41.48,"3","10","2","ZRI",18,1.4,"45","OpenDown","new",0.850903524534118,0.8
"AERStall ",32.26,"3","10","2","ZRI",18,1.4,"90","OpenDown","new",0.893996663600558,0.8
"AERStall ",34.52,"3","40","4","ORI",0,0.33,"0","OpenUp","old",0,28
"AERStall ",28.63,"3","40","4","ORI",0,0.33,"45","OpenUp","old",0.850903524534118,28
"AERStall ",25.08,"3","40","4","ORI",0,0.33,"90","OpenUp","old",0.893996663600558,28
"AERStall ",28.11,"3","40","4","ORI",7,0.45,"0","OpenUp","old",0,12
"AERStall ",25.46,"3","40","4","ORI",7,0.45,"45","OpenUp","old",0.850903524534118,12
"AERStall ",21.84,"3","40","4","ORI",7,0.45,"90","OpenUp","old",0.893996663600558,12
